,ID#,Clusters,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,1,2,28143,0,1,1,1,174,1,0,0,7000,0
1,2,2,19244,0,1,1,1,215,2,0,0,6968,0
2,3,2,41354,0,1,1,1,4123,4,0,0,7034,0
3,4,2,14776,0,1,1,1,500,1,0,0,6952,0
4,5,0,97752,0,4,1,1,43300,26,2077,4,6935,1
5,6,2,16420,0,1,1,1,0,0,0,0,6942,0
6,7,0,84914,0,3,1,1,27482,25,0,0,6994,0
7,8,2,20856,0,1,1,1,5250,4,250,1,6938,1
8,9,1,443003,0,3,2,1,1753,43,3850,12,6948,1
9,10,0,104860,0,3,1,1,28426,28,1150,3,6931,1
10,11,2,40091,0,2,1,1,7278,10,0,0,6959,0
11,12,0,96522,0,5,1,1,61105,19,0,0,6924,1
12,13,2,43382,0,2,1,1,11150,20,0,0,6924,0
13,14,2,43097,0,1,1,1,3258,6,0,0,6918,0
14,15,2,17648,0,1,1,1,0,0,0,0,6912,0
15,16,2,28495,0,4,1,1,49442,15,0,0,6912,1
16,17,2,51890,0,4,1,1,48963,16,0,0,6910,1
17,18,2,13958,0,1,1,1,4291,5,0,0,6905,1
18,19,0,91473,0,3,1,1,27408,17,0,0,6903,1
19,20,2,23354,0,3,1,1,10447,5,0,0,6896,1
20,21,0,120576,0,5,1,1,58831,23,250,2,6896,1
21,22,4,185681,2024,1,1,1,13300,16,1800,9,6896,1
22,23,2,20584,0,1,1,1,3450,11,3450,11,6884,0
23,24,0,66275,0,1,1,1,2533,11,150,1,6884,0
24,25,4,205651,500,1,1,1,4025,21,700,4,7932,0
25,26,2,20726,0,1,1,1,1375,4,0,0,7924,0
26,27,2,18521,0,1,1,1,1227,2,1227,2,7917,0
27,28,2,8828,0,1,1,1,0,0,0,0,7914,0
28,29,0,59763,0,3,1,1,33772,20,100,1,7907,1
29,30,2,19221,0,1,1,1,4655,8,500,1,7896,1
30,31,4,177926,0,3,1,1,20797,13,0,0,7886,0
31,32,2,10021,0,1,1,1,0,0,0,0,7879,0
32,33,4,276571,0,4,1,1,42044,23,0,0,7872,0
33,34,2,18047,0,1,1,1,100,1,0,0,7868,0
34,35,2,43832,0,1,1,1,0,0,0,0,7865,0
35,36,0,123759,0,4,1,1,50572,23,2500,5,7865,1
36,37,2,23193,0,1,1,1,650,4,550,3,7861,1
37,38,0,68666,0,1,1,1,350,2,350,2,7861,0
38,39,0,59990,0,3,1,1,27878,17,0,0,7854,1
39,40,2,2176,0,1,1,1,0,0,0,0,7847,1
40,41,2,34616,0,1,1,1,1750,4,500,1,7850,0
41,42,2,10470,0,4,1,1,38094,26,0,0,7840,1
42,43,2,60313,0,1,1,1,10000,26,3250,9,7829,1
43,44,1,619393,0,3,1,1,15008,14,0,0,7819,1
44,45,0,121260,0,3,1,1,18493,18,0,0,7808,0
45,46,4,288865,967,1,1,1,23600,14,2000,4,6884,1
46,47,0,92336,0,2,1,1,11214,6,0,0,6884,0
47,48,2,36924,0,1,1,1,5900,6,300,2,6879,1
48,49,0,70312,0,3,1,1,34678,24,500,1,6875,1
49,50,2,17051,0,1,1,1,1150,4,1150,4,6868,0
50,51,0,108137,0,1,1,1,6368,5,6368,5,6844,0
51,52,2,1300,0,1,1,1,370,1,0,0,6868,0
52,53,0,118531,0,4,1,1,44577,38,0,0,6868,1
53,54,0,121395,0,1,1,1,4970,8,650,2,6889,1
54,55,2,38348,0,1,1,1,0,0,0,0,6861,0
55,56,2,14448,0,1,1,1,1625,6,0,0,6856,0
56,57,0,75971,0,4,1,1,34339,14,0,0,6869,0
57,58,2,36298,0,1,1,1,3100,5,600,3,6865,1
58,59,2,38077,0,3,1,1,34024,8,0,0,6837,0
